129 1.848919 9.96e-16 1000.000 16.00
130 0.311674 1.28e-15 17.000 NAN
131 0.121116 4.44e-15 NAN NAN
132 0.541404 9.78e-15 12.000 NAN
133 1.273768 6.80e-15 33.900 89.00
134 0.751624 3.54e-15 18.000 197.00
135 0.308581 3.90e-17 34.000 NAN
136 1.703946 8.13e-16 NAN NAN
137 0.720612 1.64e-15 40.000 19.00
138 0.644354 9.50e-15 75.000 6.20
139 0.208956 1.72e-16 29.000 NAN
140 1.116097 1.60e-15 76.000 16.00
141 0.367953 7.91e-16 170.000 NAN
142 1.602228 4.46e-16 NAN 1.50
143 1.267536 6.32e-15 37.400 7.70
144 0.064686 7.26e-15 NAN NAN
145 0.575072 1.36e-14 22.000 NAN
146 0.962509 1.68e-15 48.000 11.00
147 0.326774 2.33e-14 17.000 12.00
148 0.441995 8.75e-14 36.000 NAN
149 0.660313 1.07e-16 38.000 4.50
150 0.965171 1.89e-15 32.000 8.00
151 0.549553 4.63e-16 32.000 11.00
152 0.988281 1.49e-16 228.000 13.00
153 0.346287 2.49e-14 175.000 12.00
154 0.340854 5.22e-16 NAN NAN
155 0.253556 1.83e-15 24.000 35.00
156 0.401626 6.69e-16 23.700 16.00
157 0.106755 1.52e-14 56.000 28.00
158 1.362890 3.33e-16 77.000 6.50
159 1.526085 3.59e-15 NAN NAN
160 1.216976 1.00e-17 NAN NAN
161 1.567994 3.61e-15 49.400 5.00
162 0.430627 1.36e-14 24.400 52.00
163 0.950289 9.76e-14 31.000 NAN
164 0.746295 3.55e-14 25.000 12.00
165 0.739501 4.88e-15 80.000 22.00
166 1.931627 2.50e-16 41.000 NAN
167 4.392159 8.37e-15 94.000 NAN
168 0.570409 2.69e-16 NAN NAN
169 1.444773 4.65e-15 42.000 18.00
170 0.087545 3.29e-14 12.000 NAN
171 0.658558 1.14e-15 33.000 11.00
172 0.664367 2.29e-14 49.000 55.00
173 0.808127 3.96e-14 16.000 13.00
174 1.087418 9.11e-17 103.000 7.00
175 0.570264 4.53e-17 11.000 26.00
176 0.331586 4.83e-15 11.000 NAN
177 1.097706 3.49e-15 70.900 4.00
178 0.640016 6.37e-16 NAN NAN
179 1.373815 5.80e-16 75.000 8.50
180 0.472834 4.39e-14 20.000 NAN
181 0.862118 3.52e-15 33.000 29.00
182 0.203557 1.95e-15 7.800 NAN
183 0.670086 8.20e-17 130.000 16.00
184 0.255677 9.59e-16 8.800 NAN
185 1.436583 5.14e-14 31.000 80.00
186 1.661177 8.60e-16 59.000 NAN
187 7.733640 5.99e-14 160.000 NAN
188 0.777501 1.57e-15 NAN NAN
189 0.307072 2.21e-14 21.000 6.00
190 0.835797 5.73e-16 26.000 4.00
191 2.517945 8.81e-16 77.700 4.10
192 2.133591 3.77e-14 NAN NAN
193 0.819911 1.77e-14 23.000 15.00
194 0.442901 5.58e-16 39.000 NAN
195 0.139882 5.74e-14 57.000 NAN
196 0.769584 1.93e-15 17.000 3.50
197 0.087834 6.98e-16 NAN NAN
198 0.107386 8.08e-14 NAN NAN
199 0.503459 3.13e-15 48.000 15.00
200 1.804695 1.74e-15 52.500 5.10
201 0.162499 2.01e-14 NAN NAN
202 1.238305 4.05e-14 36.000 NAN
203 0.140480 6.74e-15 NAN NAN
204 0.670026 5.34e-17 NAN NAN
205 1.643726 1.45e-13 NAN NAN
206 0.306411 1.78e-15 NAN NAN
207 2.407622 1.79e-14 71.000 NAN
208 0.464208 3.00e-15 17.000 14.00
209 1.150590 2.30e-16 194.000 41.00
210 0.579577 3.50e-16 14.000 NAN
211 0.510368 1.65e-15 22.000 9.00
212 0.533502 1.36e-15 NAN NAN
213 0.661992 1.25e-15 22.000 NAN
214 1.386368 9.45e-16 72.900 28.00
215 1.170859 6.73e-15 39.000 14.00
216 0.288602 1.04e-14 14.000 NAN
217 0.326271 1.24e-16 58.000 NAN
218 0.369427 1.14e-15 16.000 18.00
219 0.330328 6.10e-17 28.000 8.00
220 0.198451 1.69e-15 21.000 4.00
221 2.202325 4.41e-15 59.000 NAN
222 0.180592 2.00e-14 NAN NAN
223 0.383830 3.87e-16 NAN NAN
224 0.346909 4.07e-15 9.400 NAN
225 0.228324 2.09e-16 NAN NAN
226 1.840004 3.14e-15 42.000 NAN
227 0.947558 9.24e-14 NAN NAN
228 0.099661 2.95e-14 NAN NAN
229 0.448635 7.08e-16 14.000 NAN
230 2.919397 2.03e-14 87.000 NAN
231 0.676082 5.76e-16 NAN NAN
232 0.422447 3.58e-15 39.000 45.00
233 0.628306 2.25e-16 NAN NAN
234 1.347402 1.33e-15 40.000 6.50
235 0.616270 6.57e-16 23.000 NAN
236 1.184999 4.30e-15 34.000 19.00
237 0.396587 9.90e-16 10.000 NAN
238 0.280905 1.97e-15 NAN 5.00
239 0.063193 1.58e-14 10.000 NAN
240 2.717934 2.33e-15 46.000 NAN
241 0.252773 9.01e-18 170.000 NAN
242 1.516531 3.40e-16 80.000 7.00
243 1.799396 1.56e-13 50.000 NAN
244 0.558253 2.06e-15 28.000 NAN
245 0.064962 3.15e-14 NAN NAN
246 0.334213 8.24e-16 30.000 19.00
247 0.820484 2.84e-15 40.000 13.00
248 0.880820 4.61e-14 60.000 NAN
249 1.656440 2.49e-15 35.000 12.00
250 0.259777 7.23e-15 10.000 NAN
251 0.943158 7.95e-15 24.000 26.00
252 0.505097 1.25e-14 30.000 NAN
253 1.155272 2.40e-16 NAN NAN
254 2.280597 3.67e-15 70.000 7.00
255 0.535783 2.77e-15 27.000 24.00
256 0.244838 6.54e-17 17.000 8.00
257 0.640234 6.46e-15 25.000 NAN
258 0.271434 5.25e-15 15.000 11.00
259 0.232976 2.75e-15 23.000 8.00
260 0.185560 9.00e-18 NAN NAN
261 0.479099 6.20e-16 NAN NAN
262 0.202737 2.81e-16 105.000 NAN
263 0.579416 3.30e-15 25.000 9.00
264 0.515984 1.10e-17 NAN NAN
265 0.162323 1.59e-17 7.200 NAN
266 0.680984 9.52e-16 NAN NAN
267 0.256353 4.60e-16 60.000 8.00
268 0.175166 6.80e-17 NAN NAN
269 1.022875 4.52e-16 305.000 NAN
270 0.114943 7.93e-14 NAN NAN
271 1.187913 3.73e-15 41.800 257.00
272 0.364706 8.22e-15 27.000 23.00
273 0.556216 7.17e-17 136.000 14.00
274 0.117564 1.25e-14 NAN NAN
275 0.538432 1.96e-15 32.000 10.00
276 0.291468 4.63e-16 7.000 8.00
277 0.558383 7.79e-17 NAN NAN
278 0.675646 6.95e-16 24.000 7.00
279 0.685358 4.85e-16 NAN NAN
280 0.850665 3.08e-14 27.000 NAN
281 0.273372 1.79e-15 15.000 17.00
282 3.559937 1.11e-14 NAN NAN
283 3.241029 2.70e-15 NAN NAN
284 1.789829 1.28e-15 NAN NAN
285 0.376570 6.69e-15 NAN NAN
286 0.282012 5.59e-16 NAN NAN
287 0.288409 2.65e-14 17.000 NAN
288 1.037931 1.02e-15 20.000 7.00
289 0.400522 3.93e-15 47.000 145.00
290 0.667486 2.40e-17 NAN NAN
291 0.525074 2.82e-15 25.000 6.00
292 0.592136 3.56e-15 NAN NAN
293 0.452801 2.13e-15 16.000 23.00
294 0.308861 2.17e-16 13.000 NAN
295 0.279767 7.26e-16 12.000 23.00
296 4.237010 4.31e-16 NAN NAN
297 0.433084 2.57e-16 24.000 NAN
298 0.909823 5.34e-17 18.000 NAN
299 0.636414 1.15e-16 NAN NAN
300 0.374047 1.68e-14 NAN NAN
301 0.789212 8.03e-17 NAN NAN
302 1.081164 1.50e-16 NAN NAN
303 0.585761 2.02e-14 21.000 NAN
304 0.216476 4.95e-15 9.100 48.00
305 1.018453 2.06e-15 32.000 5.00
306 0.626324 2.88e-16 19.000 NAN
307 0.419618 9.46e-16 22.000 11.00
308 0.877239 3.80e-17 55.500 NAN
309 1.351236 1.40e-15 NAN NAN
310 1.872994 1.40e-17 NAN NAN
311 0.564759 6.92e-15 NAN NAN
312 0.756892 3.88e-15 NAN NAN
313 0.256778 1.97e-16 NAN NAN
314 0.294760 1.56e-16 17.000 NAN
315 2.110974 2.19e-15 47.000 NAN
316 1.118591 1.45e-15 NAN 2.00
317 1.382449 9.60e-16 60.600 110.00
318 1.301908 1.19e-14 40.000 6.50
319 0.512242 1.74e-15 20.000 3.50
320 0.471225 8.00e-17 74.000 NAN
321 0.388481 4.50e-15 11.000 110.00
322 0.275207 1.00e-15 NAN NAN
323 1.546819 7.18e-15 NAN NAN
324 2.283093 1.09e-14 NAN NAN
325 0.198335 1.69e-14 NAN NAN
326 0.434445 1.21e-17 NAN NAN
327 0.327058 3.65e-16 NAN NAN
328 0.823339 1.08e-16 41.000 NAN
329 0.255496 2.10e-15 13.000 20.00
330 0.184502 6.24e-16 NAN NAN
331 0.657974 4.00e-15 21.000 NAN
332 0.617308 3.63e-16 27.100 12.00
333 0.663329 1.21e-15 35.000 4.50
334 0.184528 2.67e-13 NAN NAN
335 0.663830 5.64e-14 NAN NAN
336 0.967846 6.33e-15 NAN NAN
337 2.306642 2.18e-15 78.000 NAN
338 0.427762 3.21e-14 NAN NAN
339 0.478231 2.11e-15 NAN NAN
340 0.571647 4.03e-15 50.000 29.00
341 0.981902 5.86e-15 NAN NAN
342 0.473026 5.97e-15 59.000 NAN
343 4.962427 2.11e-14 NAN NAN
344 1.058833 5.26e-16 69.900 NAN
345 0.464700 8.64e-15 15.000 NAN
346 0.619454 8.79e-15 NAN NAN
347 0.398292 1.84e-17 NAN NAN
348 0.447518 1.51e-16 16.200 4.00
349 0.728154 1.48e-16 52.000 15.00
350 0.849236 5.71e-15 41.000 16.00
351 2.437432 6.83e-16 61.000 NAN
352 0.848933 8.00e-16 NAN 3.50
353 2.948390 1.17e-14 86.000 NAN
354 0.342825 5.30e-15 180.000 NAN
355 0.261271 1.02e-16 NAN NAN
356 0.284351 1.53e-15 15.000 NAN
357 0.421118 1.50e-15 26.000 NAN
358 0.458488 1.90e-18 90.000 7.00
359 0.279729 9.25e-15 17.000 18.00
360 1.279058 2.37e-15 NAN NAN
361 0.670037 5.66e-16 38.100 11.00
362 0.506058 2.59e-15 19.000 NAN
363 2.764209 1.11e-14 NAN NAN
364 0.844109 5.58e-15 NAN NAN
365 2.483804 9.79e-16 NAN NAN
366 0.477991 3.24e-15 23.000 120.00
367 0.792670 3.10e-15 46.000 18.00
368 0.543009 5.31e-15 56.000 28.00
369 0.529913 1.89e-14 19.000 135.00
370 0.196479 1.53e-15 30.000 NAN
371 0.280678 3.12e-14 120.000 NAN
372 0.532699 3.01e-15 19.000 18.00
373 1.478721 6.10e-16 80.000 11.00
374 1.565218 3.39e-14 NAN NAN
375 0.648117 5.10e-16 NAN NAN
376 0.650434 5.60e-16 266.000 9.00
377 0.345603 5.40e-19 9.700 NAN
378 0.107718 2.16e-17 10.000 18.00
379 0.207953 3.56e-16 NAN NAN
380 1.238990 1.39e-14 145.000 NAN
381 0.137055 5.30e-19 4.900 NAN
382 0.558179 3.50e-16 NAN NAN
383 0.378622 5.05e-15 26.000 9.00
384 0.627285 1.95e-14 19.000 NAN
385 0.193340 2.53e-13 41.000 NAN
386 0.540102 4.30e-17 NAN NAN
387 1.253085 3.25e-15 40.000 NAN
388 0.299625 3.50e-17 NAN NAN
389 0.609962 1.42e-14 19.000 NAN
390 0.927772 3.79e-15 NAN NAN
391 0.259363 5.13e-15 14.000 NAN
392 0.295699 7.53e-16 11.000 9.00
393 0.628903 1.23e-15 330.000 NAN
394 2.951938 1.48e-14 NAN NAN
395 0.644301 2.81e-15 22.000 12.00
396 2.038674 7.15e-16 57.000 NAN
397 1.213381 5.99e-15 43.000 NAN
398 0.276603 3.10e-18 NAN NAN
399 0.507380 7.24e-16 32.000 12.00
400 0.127501 6.34e-15 7.400 105.00
401 0.842790 1.67e-14 19.000 34.00
402 0.399170 9.00e-17 33.000 NAN
403 1.306198 1.20e-15 78.000 4.00
404 0.617575 1.20e-15 NAN NAN
405 0.288349 6.11e-16 NAN NAN
406 0.213075 5.47e-14 NAN NAN
407 0.492344 3.16e-15 NAN NAN
408 0.701615 8.85e-15 NAN NAN
409 0.528591 8.40e-16 NAN NAN
410 0.050052 3.20e-14 NAN NAN
411 0.278729 6.74e-18 3.500 NAN
412 0.529156 1.91e-15 22.000 NAN
413 0.315225 9.87e-14 18.000 NAN
414 0.285625 3.33e-13 57.000 NAN
415 0.292408 2.23e-15 NAN NAN
416 0.394946 7.43e-15 9.200 NAN
417 4.630188 6.39e-15 180.000 NAN
418 0.392479 5.80e-16 17.000 NAN
419 0.794883 1.20e-16 NAN NAN
420 0.295580 4.28e-15 20.000 NAN
421 1.096806 8.89e-16 53.000 24.00
422 1.672596 2.71e-16 NAN NAN
423 0.935772 2.37e-16 42.000 9.00
424 0.333411 1.45e-15 NAN NAN
425 0.770375 7.80e-16 36.000 NAN
426 0.366734 3.94e-15 22.000 NAN
427 1.023504 2.40e-16 NAN NAN
428 0.353263 2.20e-17 135.000 NAN
429 0.707868 7.42e-16 NAN NAN
430 0.501730 4.78e-16 NAN NAN
431 0.586486 6.21e-16 23.900 NAN
432 0.570290 2.08e-15 25.000 35.00
433 0.763915 4.28e-14 NAN NAN
434 0.785441 2.77e-15 28.000 130.00
435 2.034989 5.92e-15 NAN NAN
436 1.954430 5.63e-15 NAN NAN
437 0.306368 3.02e-15 NAN NAN
438 0.963348 1.03e-15 NAN NAN
439 0.472995 1.54e-15 33.000 NAN
440 0.061696 8.59e-15 NAN NAN
441 0.467616 6.33e-15 NAN NAN
442 0.459605 1.12e-15 23.000 21.00
443 1.175840 3.60e-16 NAN NAN
444 0.732061 3.38e-16 NAN NAN
445 2.760228 8.23e-15 79.000 NAN
446 0.463330 8.60e-17 27.000 NAN
447 0.386625 5.07e-14 NAN NAN
448 0.154991 1.45e-15 18.000 NAN
449 0.179485 2.75e-15 9.700 230.00
450 0.263377 9.83e-17 29.000 350.00
451 1.748301 5.29e-15 85.000 4.00
452 1.498637 3.66e-15 NAN NAN
453 0.390739 1.23e-14 NAN NAN
454 0.464037 2.39e-16 NAN NAN
455 0.782949 1.70e-16 NAN NAN
456 0.535504 1.83e-15 14.000 NAN
457 0.668105 3.64e-14 NAN NAN
458 0.842104 1.35e-15 53.000 NAN
459 3.314002 1.40e-16 80.000 1.30
460 0.412985 5.53e-15 NAN NAN
461 0.840739 6.37e-15 35.000 5.00
462 0.286757 1.60e-15 19.000 16.00
463 0.355655 1.16e-15 21.000 13.00
464 0.739682 5.00e-15 26.300 114.00
465 0.339038 2.12e-15 NAN NAN
466 0.943871 6.10e-16 100.000 14.00
467 0.200384 4.85e-16 11.000 NAN
468 0.301511 3.44e-16 NAN NAN
469 2.040532 1.92e-15 NAN NAN
470 0.128694 6.85e-15 16.000 NAN
471 0.973458 2.75e-14 33.000 NAN
472 0.454839 9.25e-16 23.000 8.50
473 0.148796 2.88e-15 NAN NAN
474 0.286646 6.10e-15 NAN NAN
475 0.650837 2.16e-16 26.000 NAN
476 0.886612 2.10e-15 NAN NAN
477 0.794997 4.18e-16 NAN NAN
478 0.214925 4.06e-17 NAN NAN
479 0.518758 4.27e-15 NAN NAN
480 2.154307 8.37e-15 47.000 NAN
481 1.254052 5.96e-15 NAN NAN
482 1.389605 3.30e-15 NAN NAN
